#Data stored on SZ timesteps
#Time	Obs 5	Obs 35	Obs 37	Obs 65
#Unit	100180	1000	0	100180	1000	0	100180	1000	0	100180	1000	0
1973-01-04 00:00:00	64.184	42.839	35.676	26.473
1973-01-11 00:00:00	64.338	42.654	35.654	26.552
1973-01-18 00:00:00	64.238	42.935	35.466	26.911
1973-01-25 00:00:00	64.094	42.861	35.663	26.902
1973-02-01 00:00:00	64.012	42.625	35.329	26.839
1973-02-08 00:00:00	64.248	42.859	35.358	26.793
1973-02-15 00:00:00	64.424	42.747	35.38	26.73
1973-02-22 00:00:00	64.479	43.016	35.262	26.919
1973-03-01 00:00:00	64.305	42.613	35.194	26.533
1973-03-08 00:00:00	64.205	42.748	35.45	26.682
1973-03-15 00:00:00	64.223	42.76	35.415	26.494
1973-03-22 00:00:00	64.263	42.574	35.423	26.831
1973-03-29 00:00:00	64.292	42.802	35.256	26.556
1973-04-05 00:00:00	64.247	42.582	35.281	26.62
1973-04-12 00:00:00	64.376	42.674	35.086	26.585
1973-04-19 00:00:00	64.244	42.719	35.177	26.708
1973-04-26 00:00:00	64.392	42.692	35.317	26.555
1973-05-03 00:00:00	64.165	42.635	35.143	26.515
1973-05-10 00:00:00	64.101	42.647	35.153	26.433
1973-05-17 00:00:00	64.132	42.586	35.222	26.577
1973-05-24 00:00:00	64.291	42.562	35.061	26.369
1973-05-31 00:00:00	64.079	42.525	35.015	26.46
1973-06-07 00:00:00	64.268	42.513	35.009	26.246
1973-06-14 00:00:00	64.198	42.288	34.919	26.153
1973-06-21 00:00:00	63.938	42.254	34.733	25.995
1973-06-28 00:00:00	64.144	42.362	34.779	26.073
1973-07-05 00:00:00	-999	42.375	34.672	26.039
1973-07-12 00:00:00	-999	42.519	34.755	25.888
1973-07-19 00:00:00	-999	42.293	34.816	26.041
1973-07-26 00:00:00	-999	42.259	34.659	25.935
1973-08-02 00:00:00	-999	42.138	34.608	26.026
1973-08-09 00:00:00	63.905	42.217	34.62	25.72
1973-08-16 00:00:00	64.016	42.261	34.457	25.692
1973-08-23 00:00:00	64.075	42.105	34.557	25.901
1973-08-30 00:00:00	63.986	42.169	34.634	25.753
1973-09-06 00:00:00	63.891	42.113	34.554	25.673
1973-09-13 00:00:00	63.842	41.988	34.625	25.725
1973-09-20 00:00:00	63.961	42.028	34.695	25.612
1973-09-27 00:00:00	63.821	41.864	34.81	25.51
1973-10-04 00:00:00	63.808	41.885	34.789	25.463
1973-10-11 00:00:00	63.719	41.805	35.013	25.549
1973-10-18 00:00:00	63.835	42.005	34.91	25.477
1973-10-25 00:00:00	63.591	41.823	35.148	25.658
1973-11-01 00:00:00	63.847	41.657	35.121	26.108
1973-11-08 00:00:00	63.623	41.961	35.376	26.217
1973-11-15 00:00:00	63.76	41.812	35.479	26.205
1973-11-22 00:00:00	63.691	41.79	35.526	26.314
1973-11-29 00:00:00	63.694	41.797	35.614	26.349
1973-12-06 00:00:00	64.111	41.933	35.657	26.474
1973-12-13 00:00:00	63.984	42.132	35.552	26.458
1973-12-20 00:00:00	64.316	42.086	35.61	26.587
1973-12-27 00:00:00	64.166	42.327	35.597	26.64
1974-01-03 00:00:00	64.307	42.363	35.646	26.577
1974-01-10 00:00:00	64.33	42.539	35.679	26.556
1974-01-17 00:00:00	64.163	42.758	35.51	26.621
1974-01-24 00:00:00	64.538	42.684	35.615	26.688
1974-01-31 00:00:00	64.554	42.873	35.46	26.493
1974-02-07 00:00:00	64.211	42.916	35.527	26.813
1974-02-14 00:00:00	64.225	42.755	35.488	26.472
1974-02-21 00:00:00	64.525	42.912	35.474	26.551
1974-02-28 00:00:00	64.488	42.818	35.568	26.635
1974-03-07 00:00:00	64.508	42.732	35.227	26.442
1974-03-14 00:00:00	64.472	42.587	35.26	26.294
1974-03-21 00:00:00	64.255	42.856	35.189	26.176
1974-03-28 00:00:00	64.183	42.629	35.033	26.445
1974-04-04 00:00:00	64.393	42.559	35.082	26.361
1974-04-11 00:00:00	64.304	42.588	35.044	26.108
1974-04-18 00:00:00	64.499	42.464	35.152	26.312
1974-04-25 00:00:00	64.511	42.46	35.12	26.122
1974-05-02 00:00:00	64.303	42.598	34.956	26.118
1974-05-09 00:00:00	64.303	42.553	34.958	25.935
1974-05-16 00:00:00	64.253	42.386	34.769	26.187
1974-05-23 00:00:00	64.124	42.413	34.858	26.152
1974-05-30 00:00:00	64.222	42.511	34.944	25.984
1974-06-06 00:00:00	64.29	42.434	34.91	26.064
1974-06-13 00:00:00	64.366	42.448	34.833	25.883
1974-06-20 00:00:00	64.173	42.382	34.658	25.901
1974-06-27 00:00:00	64.308	42.265	34.833	25.963
1974-07-04 00:00:00	64.091	42.316	34.743	25.808
1974-07-11 00:00:00	64.015	42.358	34.769	25.731
1974-07-18 00:00:00	63.921	42.195	34.859	25.621
1974-07-25 00:00:00	63.888	42.281	34.742	25.694
1974-08-01 00:00:00	64.013	42.205	34.77	25.524
1974-08-08 00:00:00	63.985	42.296	34.673	25.721
1974-08-15 00:00:00	63.964	42.075	34.639	25.407
1974-08-22 00:00:00	63.897	42.227	34.615	25.602
1974-08-29 00:00:00	63.805	42.096	34.681	25.586
1974-09-05 00:00:00	63.902	42.104	34.895	25.493
1974-09-12 00:00:00	64.007	-999	35.126	25.326
1974-09-19 00:00:00	63.939	-999	35.054	25.383
1974-09-26 00:00:00	63.888	-999	35.252	25.672
1974-10-03 00:00:00	63.767	-999	35.247	25.599
1974-10-10 00:00:00	63.691	42.007	35.192	25.53
1974-10-17 00:00:00	63.788	41.934	35.479	25.804
1974-10-24 00:00:00	63.635	42.22	35.64	25.968
1974-10-31 00:00:00	63.714	42.123	35.413	26.263
1974-11-07 00:00:00	63.881	42.466	35.535	26.232
1974-11-14 00:00:00	64.012	42.627	35.628	26.056
1974-11-21 00:00:00	64.343	42.936	35.785	26.514
1974-11-28 00:00:00	64.2	42.828	35.63	26.528
1974-12-05 00:00:00	64.574	43.227	35.755	26.762
1974-12-12 00:00:00	64.514	43.357	35.732	26.618
1974-12-19 00:00:00	64.824	43.236	35.875	26.808
1974-12-26 00:00:00	64.517	43.403	35.869	26.738
1975-01-02 00:00:00	64.615	44.002	35.6	26.973
1975-01-09 00:00:00	64.749	43.985	35.599	27.074
1975-01-16 00:00:00	64.86	43.953	35.593	27.286
1975-01-23 00:00:00	64.755	44.004	35.698	27.14
1975-01-30 00:00:00	64.667	43.791	35.676	26.867
1975-02-06 00:00:00	64.894	43.753	35.558	27.14
1975-02-13 00:00:00	64.762	43.716	35.636	26.79
1975-02-20 00:00:00	65.061	43.912	35.534	27.003
1975-02-27 00:00:00	65.079	44.038	35.68	26.857
1975-03-06 00:00:00	64.827	43.724	35.498	26.862
1975-03-13 00:00:00	64.992	43.914	35.631	26.713
1975-03-20 00:00:00	65.094	43.789	35.676	26.994
1975-03-27 00:00:00	64.788	43.707	35.542	26.744
1975-04-03 00:00:00	64.748	43.672	35.451	26.811
1975-04-10 00:00:00	64.995	43.513	35.506	26.708
1975-04-17 00:00:00	64.798	43.716	35.428	26.896
1975-04-24 00:00:00	64.985	43.662	35.456	26.678
1975-05-01 00:00:00	64.946	43.564	35.366	26.672
1975-05-08 00:00:00	64.971	43.633	35.406	26.549
1975-05-15 00:00:00	64.711	43.771	35.245	26.547
1975-05-22 00:00:00	64.83	43.651	35.219	26.605
1975-05-29 00:00:00	64.817	43.637	35.069	26.511
1975-06-05 00:00:00	64.737	43.342	34.771	26.381
1975-06-12 00:00:00	64.585	43.077	34.958	26.393
1975-06-19 00:00:00	64.525	43.397	34.968	26.409
1975-06-26 00:00:00	64.506	43.397	34.868	26.331
1975-07-03 00:00:00	64.536	43.116	34.687	26.102
1975-07-10 00:00:00	64.855	43.245	34.736	26.382
1975-07-17 00:00:00	64.601	43.215	34.743	26.101
1975-07-24 00:00:00	64.638	43.065	34.677	26.125
1975-07-31 00:00:00	64.482	43.056	34.576	25.968
1975-08-07 00:00:00	64.429	42.952	34.646	25.971
1975-08-14 00:00:00	64.519	42.994	34.526	26.042
1975-08-21 00:00:00	64.417	42.867	34.717	25.895
1975-08-28 00:00:00	64.453	42.875	34.632	25.939
1975-09-04 00:00:00	64.426	42.835	34.713	25.817
1975-09-11 00:00:00	64.195	42.792	34.795	25.869
1975-09-18 00:00:00	64.322	42.629	34.95	25.837
1975-09-25 00:00:00	64.353	42.498	35.008	25.754
1975-10-02 00:00:00	64.094	42.847	34.917	25.677
1975-10-09 00:00:00	64.27	42.626	35.161	26.046
1975-10-16 00:00:00	64.285	42.503	34.911	25.787
1975-10-23 00:00:00	64.132	42.679	35.067	25.97
1975-10-30 00:00:00	64.102	42.486	35.154	26.112
1975-11-06 00:00:00	64.084	42.665	35.411	26.177
1975-11-13 00:00:00	64.193	42.539	35.415	26.057
1975-11-20 00:00:00	63.977	43.092	35.317	26.373
1975-11-27 00:00:00	63.878	42.844	35.236	26.307
1975-12-04 00:00:00	64.189	43.193	35.414	-999
1975-12-11 00:00:00	-999	43.339	35.748	-999
1975-12-18 00:00:00	-999	43.184	35.674	-999
1975-12-25 00:00:00	-999	43.492	35.695	-999
1976-01-01 00:00:00	-999	43.319	35.801	-999
1976-01-08 00:00:00	64.34	43.486	35.696	26.863
1976-01-15 00:00:00	64.177	43.347	35.546	26.805
1976-01-22 00:00:00	64.503	43.57	35.602	26.714
1976-01-29 00:00:00	64.236	43.483	35.515	26.522
1976-02-05 00:00:00	64.288	43.289	35.462	26.505
1976-02-12 00:00:00	64.214	43.204	35.442	26.455
1976-02-19 00:00:00	64.29	43.454	35.361	26.378
1976-02-26 00:00:00	64.266	43.189	35.4	26.434
1976-03-04 00:00:00	64.099	43.243	35.499	26.207
1976-03-11 00:00:00	64.252	43.249	35.299	26.443
1976-03-18 00:00:00	64.156	43.148	35.342	26.561
1976-03-25 00:00:00	64.148	43.097	35.45	26.338
1976-04-01 00:00:00	64.05	43.322	35.3	26.213
1976-04-08 00:00:00	64.146	43.183	35.389	26.409
1976-04-15 00:00:00	64.196	43.163	35.186	26.178
1976-04-22 00:00:00	64.265	43.032	35.44	26.257
1976-04-29 00:00:00	64.202	42.949	35.292	26.355
1976-05-06 00:00:00	64.157	43.001	35.346	26.23
1976-05-13 00:00:00	63.914	42.943	35.274	26.109
1976-05-20 00:00:00	64.073	42.956	35.279	26.066
1976-05-27 00:00:00	64.02	42.963	35.308	26.092
1976-06-03 00:00:00	64.031	42.942	34.966	25.937
1976-06-10 00:00:00	63.797	42.943	35.013	25.781
1976-06-17 00:00:00	64.102	42.916	35.048	25.921
1976-06-24 00:00:00	63.968	42.713	34.803	25.8
1976-07-01 00:00:00	63.828	42.776	34.832	25.908
1976-07-08 00:00:00	63.739	42.48	34.741	25.858
1976-07-15 00:00:00	64.059	42.88	34.791	25.807
1976-07-22 00:00:00	63.944	42.596	34.644	25.63
1976-07-29 00:00:00	64.015	42.589	34.51	25.757
1976-08-05 00:00:00	63.685	42.496	34.488	25.423
1976-08-12 00:00:00	64.008	42.652	34.37	25.611
1976-08-19 00:00:00	63.938	42.444	34.297	25.341
1976-08-26 00:00:00	63.967	42.185	34.295	25.422
1976-09-02 00:00:00	63.833	42.373	34.565	25.289
1976-09-09 00:00:00	63.777	42.347	34.511	25.389
1976-09-16 00:00:00	63.678	42.145	34.599	25.437
1976-09-23 00:00:00	63.74	42.124	34.522	25.376
1976-09-30 00:00:00	63.867	42.27	34.575	25.365
1976-10-07 00:00:00	63.678	42.132	34.672	25.325
1976-10-14 00:00:00	63.753	42.24	34.684	25.256
1976-10-21 00:00:00	63.497	42.035	35.007	25.301
1976-10-28 00:00:00	63.555	42.381	34.937	25.215
1976-11-04 00:00:00	63.818	42.201	35.045	25.632
1976-11-11 00:00:00	63.749	42.167	35.095	25.471
1976-11-18 00:00:00	63.631	42.24	34.967	25.625
1976-11-25 00:00:00	63.446	42.161	35.158	25.811
1976-12-02 00:00:00	63.614	42.456	35.305	25.629
1976-12-09 00:00:00	63.599	42.217	35.412	25.806
1976-12-16 00:00:00	63.388	42.238	35.502	26.138
1976-12-23 00:00:00	63.627	42.695	35.494	26.139
1976-12-30 00:00:00	63.546	42.697	35.395	26.17
1977-01-06 00:00:00	63.38	42.915	35.599	26.245
1977-01-13 00:00:00	63.355	-999	35.413	26.331
1977-01-20 00:00:00	63.782	-999	35.668	26.434
1977-01-27 00:00:00	63.746	-999	35.504	26.581
1977-02-03 00:00:00	63.625	-999	35.706	26.43
1977-02-10 00:00:00	63.559	-999	35.621	26.617
1977-02-17 00:00:00	63.69	43.083	35.631	26.408
1977-02-24 00:00:00	63.795	43.214	35.533	26.739
1977-03-03 00:00:00	63.89	43.273	35.466	26.892
1977-03-10 00:00:00	64	43.527	35.606	26.948
1977-03-17 00:00:00	64.125	43.307	35.615	26.788
1977-03-24 00:00:00	64.101	43.304	35.492	26.957
1977-03-31 00:00:00	64.225	43.521	35.661	27.195
1977-04-07 00:00:00	64.236	43.626	35.511	26.867
1977-04-14 00:00:00	64.037	43.582	35.649	26.934
1977-04-21 00:00:00	63.989	43.665	35.694	27.023
1977-04-28 00:00:00	63.803	43.574	35.433	27.155
1977-05-05 00:00:00	64.159	43.562	35.442	27.009
1977-05-12 00:00:00	64.043	43.629	35.449	26.893
1977-05-19 00:00:00	64.058	43.655	35.353	27.085
1977-05-26 00:00:00	63.919	43.493	35.407	27.095
1977-06-02 00:00:00	63.868	43.445	35.231	27.095
1977-06-09 00:00:00	64.11	43.345	35.194	26.771
1977-06-16 00:00:00	63.992	43.481	35.396	26.997
1977-06-23 00:00:00	63.829	43.456	35.368	26.798
1977-06-30 00:00:00	64.006	43.293	35.134	26.697
1977-07-07 00:00:00	63.978	43.293	35.145	26.494
1977-07-14 00:00:00	64.086	43.355	35.23	26.793
1977-07-21 00:00:00	64.07	43.204	34.967	26.468
1977-07-28 00:00:00	63.88	43.121	35.155	26.514
1977-08-04 00:00:00	64.033	43.104	35.191	26.716
1977-08-11 00:00:00	-999	43.133	35.036	26.434
1977-08-18 00:00:00	-999	42.884	34.986	26.38
1977-08-25 00:00:00	-999	43.02	34.969	26.225
