36.000,  0.429,  36.000,  -0.520
36.250,  0.249,  36.250,  -0.528
36.500,  0.151,  36.500,  -0.536
36.750,  0.006,  36.750,  -0.546
37.000,  0.105,  37.000,  -0.530
37.250,  0.136,  37.250,  -0.523
37.500,  0.161,  37.500,  -0.480
37.750,  0.321,  37.750,  -0.437
38.000,  0.360,  38.000,  -0.377
38.250,  0.431,  38.250,  -0.310
38.500,  0.503,  38.500,  -0.211
38.750,  0.569,  38.750,  -0.094
39.000,  0.756,  39.000,  0.023
39.250,  0.673,  39.250,  0.127
39.500,  0.624,  39.500,  0.254
39.750,  0.660,  39.750,  0.368
40.000,  0.564,  40.000,  0.468
40.250,  0.486,  40.250,  0.575
40.500,  0.394,  40.500,  0.656
40.750,  0.397,  40.750,  0.748
41.000,  0.299,  41.000,  0.819
41.250,  0.224,  41.250,  0.863
41.500,  0.209,  41.500,  0.924
41.750,  0.149,  41.750,  0.968
42.000,  0.139,  42.000,  1.012
42.250,  0.058,  42.250,  1.030
42.500,  0.082,  42.500,  1.043
42.750,  0.028,  42.750,  1.063
43.000,  0.053,  43.000,  1.069
43.250,  0.052,  43.250,  1.060
43.500,  0.121,  43.500,  1.047
43.750,  0.142,  43.750,  1.008
44.000,  0.182,  44.000,  0.951
44.250,  0.201,  44.250,  0.893
44.500,  0.285,  44.500,  0.837
44.750,  0.239,  44.750,  0.785
45.000,  0.342,  45.000,  0.701
45.250,  0.351,  45.250,  0.626
45.500,  0.369,  45.500,  0.544
45.750,  0.489,  45.750,  0.454
46.000,  0.441,  46.000,  0.360
46.250,  0.549,  46.250,  0.254
46.500,  0.584,  46.500,  0.135
46.750,  0.533,  46.750,  0.025
47.000,  0.557,  47.000,  -0.084
47.250,  0.606,  47.250,  -0.154
47.500,  0.531,  47.500,  -0.244
47.750,  0.492,  47.750,  -0.331
48.000,  0.487,  48.000,  -0.384
48.250,  0.463,  48.250,  -0.459
48.500,  0.360,  48.500,  -0.516
48.750,  0.397,  48.750,  -0.553
49.000,  0.354,  49.000,  -0.596
49.250,  0.146,  49.250,  -0.585
49.500,  0.024,  49.500,  -0.582
49.750,  0.080,  49.750,  -0.579
50.000,  0.216,  50.000,  -0.544
50.250,  0.253,  50.250,  -0.507
50.500,  0.325,  50.500,  -0.452
50.750,  0.414,  50.750,  -0.368
51.000,  0.566,  51.000,  -0.274
51.250,  0.576,  51.250,  -0.175
51.500,  0.643,  51.500,  -0.073
51.750,  0.646,  51.750,  0.047
52.000,  0.597,  52.000,  0.158
52.250,  0.549,  52.250,  0.248
52.500,  0.518,  52.500,  0.333
52.750,  0.381,  52.750,  0.419
53.000,  0.331,  53.000,  0.493
53.250,  0.285,  53.250,  0.582
53.500,  0.342,  53.500,  0.650
53.750,  0.284,  53.750,  0.703
54.000,  0.230,  54.000,  0.748
54.250,  0.191,  54.250,  0.793
54.500,  0.133,  54.500,  0.819
54.750,  0.002,  54.750,  0.825
55.000,  0.012,  55.000,  0.825
55.250,  0.091,  55.250,  0.819
55.500,  0.014,  55.500,  0.820
55.750,  0.058,  55.750,  0.824
56.000,  0.038,  56.000,  0.822
56.250,  0.022,  56.250,  0.816
56.500,  0.054,  56.500,  0.798
56.750,  0.149,  56.750,  0.754
57.000,  0.223,  57.000,  0.712
57.250,  0.226,  57.250,  0.670
57.500,  0.261,  57.500,  0.601
57.750,  0.347,  57.750,  0.546
58.000,  0.339,  58.000,  0.476
58.250,  0.342,  58.250,  0.396
58.500,  0.430,  58.500,  0.303
58.750,  0.441,  58.750,  0.197
59.000,  0.642,  59.000,  0.109
59.250,  0.501,  59.250,  0.018
59.500,  0.502,  59.500,  -0.064
59.750,  0.446,  59.750,  -0.127
60.000,  0.478,  60.000,  -0.204
60.250,  0.410,  60.250,  -0.282
60.500,  0.472,  60.500,  -0.354
60.750,  0.489,  60.750,  -0.428
61.000,  0.437,  61.000,  -0.467
61.250,  0.294,  61.250,  -0.482
61.500,  0.163,  61.500,  -0.471
61.750,  0.043,  61.750,  -0.477
62.000,  0.131,  62.000,  -0.467
62.250,  0.228,  62.250,  -0.460
62.500,  0.189,  62.500,  -0.427
62.750,  0.266,  62.750,  -0.362
63.000,  0.347,  63.000,  -0.303
63.250,  0.408,  63.250,  -0.237
63.500,  0.527,  63.500,  -0.139
63.750,  0.571,  63.750,  -0.028
64.000,  0.620,  64.000,  0.090
64.250,  0.663,  64.250,  0.178
64.500,  0.640,  64.500,  0.297
64.750,  0.574,  64.750,  0.398
65.000,  0.459,  65.000,  0.489
65.250,  0.403,  65.250,  0.563
65.500,  0.271,  65.500,  0.631
65.750,  0.218,  65.750,  0.693
66.000,  0.219,  66.000,  0.756
66.250,  0.226,  66.250,  0.796
66.500,  0.159,  66.500,  0.856
66.750,  0.221,  66.750,  0.908
67.000,  0.164,  67.000,  0.942
67.250,  0.182,  67.250,  0.970
67.500,  0.084,  67.500,  0.989
67.750,  0.028,  67.750,  0.996
68.000,  0.003,  68.000,  1.013
68.250,  0.058,  68.250,  1.001
68.500,  0.148,  68.500,  0.967
68.750,  0.157,  68.750,  0.941
69.000,  0.213,  69.000,  0.889
69.250,  0.292,  69.250,  0.846
69.500,  0.287,  69.500,  0.782
69.750,  0.288,  69.750,  0.719
70.000,  0.363,  70.000,  0.641
70.250,  0.294,  70.250,  0.585
70.500,  0.364,  70.500,  0.503
70.750,  0.412,  70.750,  0.429
71.000,  0.384,  71.000,  0.352
71.250,  0.447,  71.250,  0.254
71.500,  0.525,  71.500,  0.137
71.750,  0.621,  71.750,  0.028
72.000,  0.575,  72.000,  -0.081
72.250,  0.570,  72.250,  -0.160
72.500,  0.528,  72.500,  -0.253
72.750,  0.511,  72.750,  -0.329
73.000,  0.479,  73.000,  -0.400
73.250,  0.424,  73.250,  -0.447
73.500,  0.280,  73.500,  -0.490
73.750,  0.268,  73.750,  -0.506
74.000,  0.213,  74.000,  -0.539
