Karup potential evapotranspiration
Time	Pot. Evap.
Unit	100387	2004	3
1968-08-06 00:00:00	4.104
1968-08-07 00:00:00	4.392
1968-08-08 00:00:00	3.696
1968-08-09 00:00:00	3.192
1968-08-10 00:00:00	3.696
1968-08-11 00:00:00	2.712
1968-08-12 00:00:00	4.296
1968-08-13 00:00:00	3.192
1968-08-14 00:00:00	1.392
1968-08-15 00:00:00	3.408
1968-08-16 00:00:00	0.504
1968-08-17 00:00:00	0.888
1968-08-18 00:00:00	2.712
1968-08-19 00:00:00	1.704
1968-08-20 00:00:00	2.496
1968-08-21 00:00:00	1.296
1968-08-22 00:00:00	2.496
1968-08-23 00:00:00	3
1968-08-24 00:00:00	2.808
1968-08-25 00:00:00	3.096
1968-08-26 00:00:00	3.408
1968-08-27 00:00:00	3
1968-08-28 00:00:00	0.792
1968-08-29 00:00:00	1.608
1968-08-30 00:00:00	1.896
1968-08-31 00:00:00	0.696
1968-09-01 00:00:00	2.304
1968-09-02 00:00:00	2.088
1968-09-03 00:00:00	0.792
1968-09-04 00:00:00	1.704
1968-09-05 00:00:00	1.296
1968-09-06 00:00:00	2.208
1968-09-07 00:00:00	2.496
1968-09-08 00:00:00	2.304
1968-09-09 00:00:00	2.592
1968-09-10 00:00:00	2.712
1968-09-11 00:00:00	1.296
1968-09-12 00:00:00	1.8
1968-09-13 00:00:00	0.6
1968-09-14 00:00:00	0.504
1968-09-15 00:00:00	2.208
1968-09-16 00:00:00	1.704
1968-09-17 00:00:00	0.504
1968-09-18 00:00:00	1.2
1968-09-19 00:00:00	1.392
1968-09-20 00:00:00	1.104
1968-09-21 00:00:00	0.888
1968-09-22 00:00:00	0.888
1968-09-23 00:00:00	1.104
1968-09-24 00:00:00	1.104
1968-09-25 00:00:00	1.104
1968-09-26 00:00:00	1.008
1968-09-27 00:00:00	1.704
1968-09-28 00:00:00	0.504
1968-09-29 00:00:00	1.104
1968-09-30 00:00:00	0.504
1968-10-01 00:00:00	1.104
1968-10-02 00:00:00	1.2
