Data stored on SZ timesteps
Time	Obs 5	Obs 35	Obs 37	Obs 65
1970-03-23 00:00:00	64.2061	42.8589	35.5127	26.8572
1970-03-24 00:00:00	64.2023	42.86	35.5336	26.8661
1970-03-25 00:00:00	64.1985	42.8611	35.5394	26.8728
1970-03-26 00:00:00	64.1947	42.8623	35.5406	26.8761
1970-03-27 00:00:00	64.191	42.8636	35.5362	26.8834
1970-03-28 00:00:00	64.1874	42.8648	35.5372	26.8864
1970-03-29 00:00:00	64.1838	42.8662	35.5396	26.8967
1970-03-30 00:00:00	64.1803	42.8675	35.5414	26.9059
1970-03-31 00:00:00	64.1767	42.9132	35.5388	26.9169
1970-04-01 00:00:00	64.1731	42.914	35.5415	26.9281
1970-04-02 00:00:00	64.1697	42.9155	35.5536	26.9405
1970-04-03 00:00:00	64.1663	42.9171	35.5658	26.9537
1970-04-04 00:00:00	64.1629	42.9187	35.5728	26.9663
1970-04-05 00:00:00	64.1596	42.9203	35.5699	26.9776
1970-04-06 00:00:00	64.1561	42.9221	35.5682	26.9875
1970-04-07 00:00:00	64.1455	42.924	35.5679	26.9952
1970-04-08 00:00:00	64.1425	42.926	35.5537	27.0359
1970-04-09 00:00:00	64.1396	42.9283	35.5523	27.0504
1970-04-10 00:00:00	64.1366	42.931	35.5463	27.0633
1970-04-11 00:00:00	64.1336	42.9342	35.5448	27.076
1970-04-11 12:00:00	64.1321	42.9361	35.5412	27.0802
1970-04-12 00:00:00	64.1304	42.9376	35.5459	27.0835
1970-04-12 12:00:00	64.1289	42.9395	35.5585	27.0869
1970-04-13 00:00:00	64.1273	42.9418	35.5709	27.0969
1970-04-13 12:00:00	64.1258	42.95	35.5784	27.0999
1970-04-14 00:00:00	64.1243	42.9527	35.5776	27.1034
1970-04-14 12:00:00	64.1228	42.9554	35.5749	27.1129
1970-04-15 00:00:00	64.1213	42.9579	35.56	27.1163
1970-04-16 00:00:00	64.1182	42.9693	35.555	27.1262
1970-04-17 00:00:00	64.1155	42.9813	35.5534	27.1386
1970-04-18 00:00:00	64.1126	42.9918	35.5531	27.143
1970-04-19 00:00:00	64.1096	42.9986	35.5481	27.1468
