0.000, 0.007	0.000, -0.720
0.250, 0.049	0.250, -0.700
0.500, 0.191	0.500, -0.652
0.750, 0.357	0.750, -0.594
1.000, 0.495	1.000, -0.528
1.250, 0.602	1.250, -0.440
1.500, 0.692	1.500, -0.324
1.750, 0.762	1.750, -0.194
2.000, 0.784	2.000, -0.066
2.250, 0.742	2.250, 0.059
2.500, 0.658	2.500, 0.183
2.750, 0.560	2.750, 0.301
3.000, 0.465	3.000, 0.404
3.250, 0.384	3.250, 0.494
3.500, 0.326	3.500, 0.576
3.750, 0.289	3.750, 0.649
4.000, 0.260	4.000, 0.713
4.250, 0.232	4.250, 0.770
4.500, 0.205	4.500, 0.823
4.750, 0.177	4.750, 0.868
5.000, 0.136	5.000, 0.902
5.250, 0.087	5.250, 0.926
5.500, 0.046	5.500, 0.944
5.750, 0.023	5.750, 0.957
6.000, 0.009	6.000, 0.962
6.250, 0.019	6.250, 0.956
6.500, 0.077	6.500, 0.933
6.750, 0.154	6.750, 0.895
7.000, 0.218	7.000, 0.850
7.250, 0.259	7.250, 0.794
7.500, 0.301	7.500, 0.721
7.750, 0.354	7.750, 0.636
8.000, 0.397	8.000, 0.549
8.250, 0.418	8.250, 0.462
8.500, 0.423	8.500, 0.374
8.750, 0.429	8.750, 0.282
9.000, 0.446	9.000, 0.189
9.250, 0.480	9.250, 0.089
9.500, 0.534	9.500, -0.020
9.750, 0.588	9.750, -0.131
10.000, 0.609	10.000, -0.233
10.250, 0.589	10.250, -0.324
10.500, 0.549	10.500, -0.409
10.750, 0.501	10.750, -0.485
11.000, 0.433	11.000, -0.544
11.250, 0.347	11.250, -0.587
11.500, 0.267	11.500, -0.625
11.750, 0.197	11.750, -0.655
12.000, 0.120	12.000, -0.670
12.250, 0.010	12.250, -0.662
12.500, 0.148	12.500, -0.630
12.750, 0.323	12.750, -0.580
13.000, 0.457	13.000, -0.521
13.250, 0.537	13.250, -0.447
13.500, 0.598	13.500, -0.349
13.750, 0.655	13.750, -0.233
14.000, 0.689	14.000, -0.116
14.250, 0.693	14.250, 0.004
14.500, 0.680	14.500, 0.133
14.750, 0.654	14.750, 0.265
15.000, 0.603	15.000, 0.386
15.250, 0.527	15.250, 0.497
15.500, 0.442	15.500, 0.600
15.750, 0.367	15.750, 0.693
16.000, 0.308	16.000, 0.773
16.250, 0.270	16.250, 0.845
16.500, 0.255	16.500, 0.915
16.750, 0.242	16.750, 0.976
17.000, 0.199	17.000, 1.022
17.250, 0.120	17.250, 1.051
17.500, 0.040	17.500, 1.070
17.750, 0.009	17.750, 1.081
18.000, 0.027	18.000, 1.082
18.250, 0.030	18.250, 1.076
18.500, 0.039	18.500, 1.065
18.750, 0.062	18.750, 1.048
19.000, 0.093	19.000, 1.026
19.250, 0.133	19.250, 0.992
19.500, 0.200	19.500, 0.938
19.750, 0.284	19.750, 0.868
20.000, 0.348	20.000, 0.790
20.250, 0.378	20.250, 0.709
20.500, 0.389	20.500, 0.622
20.750, 0.405	20.750, 0.528
21.000, 0.433	21.000, 0.430
21.250, 0.484	21.250, 0.321
21.500, 0.561	21.500, 0.198
21.750, 0.638	21.750, 0.068
22.000, 0.674	22.000, -0.053
22.250, 0.653	22.250, -0.158
22.500, 0.600	22.500, -0.254
22.750, 0.542	22.750, -0.342
23.000, 0.487	23.000, -0.419
23.250, 0.450	23.250, -0.492
23.500, 0.444	23.500, -0.567
23.750, 0.439	23.750, -0.633
24.000, 0.372	24.000, -0.670
24.250, 0.219	24.250, -0.675
24.500, 0.021	24.500, -0.665
24.750, 0.164	24.750, -0.650
25.000, 0.289	25.000, -0.625
25.250, 0.353	25.250, -0.582
25.500, 0.407	25.500, -0.515
