0.000, 0.007	0.000, -0.720
0.250, 0.047	0.250, -0.700
0.500, 0.169	0.500, -0.654
0.750, 0.288	0.750, -0.598
1.000, 0.372	1.000, -0.535
1.250, 0.444	1.250, -0.452
1.500, 0.522	1.500, -0.346
1.750, 0.597	1.750, -0.225
2.000, 0.643	2.000, -0.105
2.250, 0.657	2.250, 0.010
2.500, 0.651	2.500, 0.124
2.750, 0.633	2.750, 0.238
3.000, 0.596	3.000, 0.346
3.250, 0.545	3.250, 0.445
3.500, 0.486	3.500, 0.539
3.750, 0.423	3.750, 0.624
4.000, 0.355	4.000, 0.698
4.250, 0.288	4.250, 0.762
4.500, 0.231	4.500, 0.819
4.750, 0.185	4.750, 0.866
5.000, 0.139	5.000, 0.900
5.250, 0.091	5.250, 0.924
5.500, 0.055	5.500, 0.943
5.750, 0.032	5.750, 0.957
6.000, 0.014	6.000, 0.962
6.250, 0.018	6.250, 0.956
6.500, 0.078	6.500, 0.933
6.750, 0.149	6.750, 0.897
7.000, 0.201	7.000, 0.852
7.250, 0.234	7.250, 0.799
7.500, 0.272	7.500, 0.729
7.750, 0.321	7.750, 0.647
8.000, 0.361	8.000, 0.564
8.250, 0.382	8.250, 0.480
8.500, 0.395	8.500, 0.394
8.750, 0.409	8.750, 0.305
9.000, 0.428	9.000, 0.213
9.250, 0.454	9.250, 0.116
9.500, 0.489	9.500, 0.012
9.750, 0.521	9.750, -0.093
10.000, 0.534	10.000, -0.190
10.250, 0.528	10.250, -0.278
10.500, 0.518	10.500, -0.362
10.750, 0.502	10.750, -0.439
11.000, 0.469	11.000, -0.503
11.250, 0.421	11.250, -0.552
11.500, 0.373	11.500, -0.596
11.750, 0.324	11.750, -0.633
12.000, 0.259	12.000, -0.655
12.250, 0.158	12.250, -0.654
12.500, 0.008	12.500, -0.627
12.750, 0.201	12.750, -0.582
13.000, 0.338	13.000, -0.529
13.250, 0.412	13.250, -0.461
13.500, 0.474	13.500, -0.371
13.750, 0.537	13.750, -0.263
14.000, 0.585	14.000, -0.152
14.250, 0.616	14.250, -0.039
14.500, 0.641	14.500, 0.083
14.750, 0.654	14.750, 0.210
15.000, 0.645	15.000, 0.331
15.250, 0.612	15.250, 0.443
15.500, 0.564	15.500, 0.551
15.750, 0.506	15.750, 0.653
16.000, 0.441	16.000, 0.745
16.250, 0.376	16.250, 0.828
16.500, 0.321	16.500, 0.905
16.750, 0.271	16.750, 0.971
17.000, 0.206	17.000, 1.019
17.250, 0.125	17.250, 1.048
17.500, 0.052	17.500, 1.068
17.750, 0.005	17.750, 1.080
18.000, 0.017	18.000, 1.083
18.250, 0.029	18.250, 1.078
18.500, 0.044	18.500, 1.066
18.750, 0.068	18.750, 1.048
19.000, 0.094	19.000, 1.026
19.250, 0.127	19.250, 0.993
19.500, 0.184	19.500, 0.941
19.750, 0.254	19.750, 0.873
20.000, 0.308	20.000, 0.800
20.250, 0.337	20.250, 0.723
20.500, 0.357	20.500, 0.638
20.750, 0.382	20.750, 0.547
21.000, 0.413	21.000, 0.451
21.250, 0.452	21.250, 0.346
21.500, 0.504	21.500, 0.229
21.750, 0.551	21.750, 0.108
22.000, 0.575	22.000, -0.006
22.250, 0.572	22.250, -0.107
22.500, 0.558	22.500, -0.202
22.750, 0.541	22.750, -0.291
23.000, 0.519	23.000, -0.372
23.250, 0.500	23.250, -0.448
23.500, 0.491	23.500, -0.525
23.750, 0.476	23.750, -0.594
24.000, 0.421	24.000, -0.637
24.250, 0.320	24.250, -0.650
24.500, 0.195	24.500, -0.647
24.750, 0.061	24.750, -0.639
25.000, 0.084	25.000, -0.622
25.250, 0.210	25.250, -0.589
25.500, 0.315	25.500, -0.530
25.750, 0.402	25.750, -0.451
26.000, 0.462	26.000, -0.366
26.250, 0.500	26.250, -0.278
26.500, 0.534	26.500, -0.180
26.750, 0.565	26.750, -0.073
27.000, 0.583	27.000, 0.036
27.250, 0.592	27.250, 0.147
27.500, 0.600	27.500, 0.266
27.750, 0.594	27.750, 0.383
28.000, 0.550	28.000, 0.482
