#Modfied: first line commented out and tabs replaced by commas.
#Mid-estuary - undredged velocity mag,Upstream - undredged velocity mag,Berth - undredged velocity mag,Inlet - undredged velocity mag,Mid-estuary - undredged water surface elevation,Upstream - undredged water surface elevation,Berth - undredged water surface elevation,Inlet - undredged water surface elevation,Mid-estuary - dredged velocity mag,Upstream - dredged velocity mag,Berth - dredged velocity mag,Inlet - dredged velocity mag,Mid-estuary - dredged water surface elevation,Upstream - dredged water surface elevation,Berth - dredged water surface elevation,Inlet - dredged water surface elevation,Mid-estuary - Delta vel magnitude,Upstream - Delta vel magnitude,Berth - Delta vel magnitude,Inlet - Delta vel magnitude,Mid-estuary - Delta water surf elevation,Upstream - Delta water surf elevation,Berth - Delta water surf elevation,Inlet - Delta water surf elevation
2.750, 0.627,2.750, 0.033,2.750, 0.314,2.750, 0.304,2.750, 0.270,2.750, 0.214,2.750, 0.308,2.750, 0.320,2.750, 0.616,2.750, 0.032,2.750, 0.183,2.750, 0.221,2.750, 0.281,2.750, 0.228,2.750, 0.319,2.750, 0.323,2.750, -0.011,2.750, -0.001,2.750, -0.131,2.750, -0.083,2.750, 0.010,2.750, 0.014,2.750, 0.010,2.750, 0.003
3.000, 0.559,3.000, 0.030,3.000, 0.282,3.000, 0.271,3.000, 0.378,3.000, 0.340,3.000, 0.407,3.000, 0.415,3.000, 0.545,3.000, 0.029,3.000, 0.165,3.000, 0.196,3.000, 0.386,3.000, 0.351,3.000, 0.415,3.000, 0.417,3.000, -0.014,3.000, -0.001,3.000, -0.118,3.000, -0.075,3.000, 0.008,3.000, 0.011,3.000, 0.008,3.000, 0.002
3.250, 0.482,3.250, 0.025,3.250, 0.246,3.250, 0.238,3.250, 0.476,3.250, 0.453,3.250, 0.496,3.250, 0.502,3.250, 0.467,3.250, 0.024,3.250, 0.144,3.250, 0.173,3.250, 0.482,3.250, 0.461,3.250, 0.502,3.250, 0.504,3.250, -0.015,3.250, -0.001,3.250, -0.103,3.250, -0.065,3.250, 0.006,3.250, 0.008,3.250, 0.006,3.250, 0.002
3.500, 0.407,3.500, 0.021,3.500, 0.211,3.500, 0.207,3.500, 0.565,3.500, 0.552,3.500, 0.579,3.500, 0.583,3.500, 0.393,3.500, 0.020,3.500, 0.123,3.500, 0.150,3.500, 0.569,3.500, 0.557,3.500, 0.583,3.500, 0.584,3.500, -0.013,3.500, -0.001,3.500, -0.088,3.500, -0.056,3.500, 0.004,3.500, 0.005,3.500, 0.004,3.500, 0.001
3.750, 0.340,3.750, 0.017,3.750, 0.178,3.750, 0.175,3.750, 0.645,3.750, 0.636,3.750, 0.654,3.750, 0.656,3.750, 0.330,3.750, 0.016,3.750, 0.105,3.750, 0.128,3.750, 0.647,3.750, 0.638,3.750, 0.657,3.750, 0.657,3.750, -0.010,3.750, -0.001,3.750, -0.073,3.750, -0.047,3.750, 0.002,3.750, 0.002,3.750, 0.003,3.750, 0.001
4.000, 0.280,4.000, 0.014,4.000, 0.148,4.000, 0.145,4.000, 0.712,4.000, 0.708,4.000, 0.718,4.000, 0.719,4.000, 0.274,4.000, 0.014,4.000, 0.088,4.000, 0.107,4.000, 0.713,4.000, 0.708,4.000, 0.720,4.000, 0.719,4.000, -0.006,4.000, -0.000,4.000, -0.060,4.000, -0.038,4.000, 0.001,4.000, 0.001,4.000, 0.002,4.000, 0.000
4.250, 0.230,4.250, 0.011,4.250, 0.123,4.250, 0.122,4.250, 0.770,4.250, 0.768,4.250, 0.774,4.250, 0.775,4.250, 0.228,4.250, 0.011,4.250, 0.074,4.250, 0.092,4.250, 0.770,4.250, 0.768,4.250, 0.775,4.250, 0.775,4.250, -0.002,4.250, -0.000,4.250, -0.049,4.250, -0.031,4.250, 0.000,4.250, -0.000,4.250, 0.001,4.250, 0.000
4.500, 0.194,4.500, 0.009,4.500, 0.105,4.500, 0.106,4.500, 0.822,4.500, 0.819,4.500, 0.825,4.500, 0.826,4.500, 0.195,4.500, 0.009,4.500, 0.064,4.500, 0.080,4.500, 0.822,4.500, 0.818,4.500, 0.826,4.500, 0.826,4.500, 0.001,4.500, 0.000,4.500, -0.041,4.500, -0.026,4.500, 0.000,4.500, -0.000,4.500, 0.001,4.500, 0.000
4.750, 0.169,4.750, 0.008,4.750, 0.092,4.750, 0.090,4.750, 0.867,4.750, 0.863,4.750, 0.869,4.750, 0.869,4.750, 0.170,4.750, 0.008,4.750, 0.056,4.750, 0.069,4.750, 0.867,4.750, 0.863,4.750, 0.870,4.750, 0.870,4.750, 0.001,4.750, 0.000,4.750, -0.035,4.750, -0.022,4.750, 0.000,4.750, 0.000,4.750, 0.001,4.750, 0.000
5.000, 0.137,5.000, 0.007,5.000, 0.074,5.000, 0.070,5.000, 0.900,5.000, 0.902,5.000, 0.901,5.000, 0.900,5.000, 0.137,5.000, 0.007,5.000, 0.045,5.000, 0.053,5.000, 0.900,5.000, 0.902,5.000, 0.901,5.000, 0.900,5.000, 0.000,5.000, 0.000,5.000, -0.029,5.000, -0.017,5.000, 0.000,5.000, 0.001,5.000, 0.000,5.000, 0.000
